poem_id,type_id,type_is_minor
kt000001,kt_t000000,0
kt000002,kt_t000000,0
kt000003,kt_t000000,0
kt000004,kt_t000000,0
kt000005,kt_t000000,0
kt000006,kt_t000000,0
kt000007,kt_t000000,0
kt000008,kt_t000000,0
kt000009,kt_t000000,0
kt000010,kt_t000000,0
kt000011,kt_t000000,0
kt000012,kt_t000000,0
kt000013,kt_t000000,0
kt000014,kt_t000000,0
kt000015,kt_t000000,0
kt000016,kt_t000000,0
kt000017,kt_t000000,0
kt000018,kt_t000000,0
kt000019,kt_t000000,0
kt000020,kt_t000000,0
kt000021,kt_t000000,0
kt000022,kt_t000000,0
kt000023,kt_t000000,0
kt000024,kt_t000000,0
kt010001,kt_t010100,0
kt010002,kt_t010100,0
kt010003,kt_t010100,0
kt010004,kt_t010100,0
kt010005,kt_t010100,0
kt010006,kt_t010100,0
kt010007,kt_t010100,0
kt010008,kt_t010100,0
kt010009,kt_t010100,0
kt010010,kt_t010100,0
kt010011,kt_t010100,0
kt010012,kt_t010100,0
kt010013,kt_t010100,0
kt010014,kt_t010100,0
kt010015,kt_t010100,0
kt010016,kt_t010100,0
kt010017,kt_t010100,0
kt010018,kt_t010100,0
kt010019,kt_t010100,0
kt010020,kt_t010100,0
kt010021,kt_t010100,0
kt010022,kt_t010100,0
kt010023,kt_t010100,0
kt010024,kt_t010100,0
kt010025,kt_t010100,0
kt010026,kt_t010100,0
kt010027,kt_t010100,0
kt010028,kt_t010100,0
kt010029,kt_t010100,0
kt010030,kt_t010100,0
kt010031,kt_t010100,0
kt010032,kt_t010100,0
kt010033,kt_t010100,0
kt010034,kt_t010100,0
kt010035,kt_t010100,0
kt010036,kt_t010100,0
kt010037,kt_t010100,0
kt010038,kt_t010100,0
kt010039,kt_t010100,0
kt010040,kt_t010100,0
kt010041,kt_t010100,0
kt010042,kt_t010100,0
kt010043,kt_t010100,0
kt010044,kt_t010100,0
kt010045,kt_t010100,0
kt010046,kt_t010100,0
kt010047,kt_t010100,0
kt010048,kt_t010100,0
kt010049,kt_t010100,0
kt010050,kt_t010100,0
kt010051,kt_t010100,0
kt010052,kt_t010100,0
kt010053,kt_t010100,0
kt010054,kt_t010100,0
kt010055,kt_t010100,0
kt010056,kt_t010100,0
kt010057,kt_t010100,0
kt010058,kt_t010100,0
kt010059,kt_t010100,0
kt010060,kt_t010100,0
kt010061,kt_t010100,0
kt010062,kt_t010100,0
kt010063,kt_t010100,0
kt010064,kt_t010100,0
kt010065,kt_t010100,0
kt010066,kt_t010100,0
kt010067,kt_t010100,0
kt010068,kt_t010100,0
kt010069,kt_t010100,0
kt010070,kt_t010100,0
kt010071,kt_t010100,0
kt010072,kt_t010100,0
kt010073,kt_t010100,0
kt010074,kt_t010100,0
kt010075,kt_t010100,0
kt010076,kt_t010100,0
kt010077,kt_t010100,0
kt010078,kt_t010100,0
kt010079,kt_t010100,0
kt010080,kt_t010100,0
kt010081,kt_t010100,0
kt010082,kt_t010100,0
kt010083,kt_t010100,0
kt010084,kt_t010100,0
kt010085,kt_t010100,0
kt010086,kt_t010100,0
kt010087,kt_t010100,0
kt010088,kt_t010100,0
kt010089,kt_t010100,0
kt010090,kt_t010100,0
kt010091,kt_t010100,0
kt010092,kt_t010100,0
kt010093,kt_t010100,0
kt010094,kt_t010100,0
kt010095,kt_t010100,0
kt010096,kt_t010100,0
kt010097,kt_t010100,0
kt010098,kt_t010100,0
kt010099,kt_t010100,0
kt010100,kt_t010100,0
kt010101,kt_t010100,0
kt010102,kt_t010100,0
kt010103,kt_t010100,0
kt010104,kt_t010100,0
kt010105,kt_t010100,0
kt010106,kt_t010100,0
kt010107,kt_t010100,0
kt010108,kt_t010100,0
kt010109,kt_t010100,0
kt010110,kt_t010100,0
kt010111,kt_t010100,0
kt010112,kt_t010100,0
kt010113,kt_t010100,0
kt010114,kt_t010100,0
kt010115,kt_t010100,0
kt010116,kt_t010100,0
kt010117,kt_t010100,0
kt010118,kt_t010100,0
kt010119,kt_t010100,0
kt010120,kt_t010100,0
kt010121,kt_t010100,0
kt010122,kt_t010100,0
kt010123,kt_t010100,0
kt010124,kt_t010100,0
kt010125,kt_t010100,0
kt010126,kt_t010201,0
kt010127,kt_t010201,0
kt010128,kt_t010201,0
kt010129,kt_t010201,0
kt010130,kt_t010201,0
kt010131,kt_t010201,0
kt010132,kt_t010201,0
kt010133,kt_t010201,0
kt010134,kt_t010201,0
kt010135,kt_t010201,0
kt010136,kt_t010201,0
kt010137,kt_t010201,0
kt010138,kt_t010201,0
kt010139,kt_t010201,0
kt010140,kt_t010201,0
kt010141,kt_t010201,0
kt010142,kt_t010201,0
kt010143,kt_t010201,0
kt010144,kt_t010201,0
kt010145,kt_t010201,0
kt010146,kt_t010201,0
kt010147,kt_t010201,0
kt010148,kt_t010201,0
kt010149,kt_t010201,0
kt010150,kt_t010201,0
kt010151,kt_t010201,0
kt010152,kt_t010201,0
kt010153,kt_t010201,0
kt010154,kt_t010201,0
kt010155,kt_t010201,0
kt010156,kt_t010201,0
kt010157,kt_t010202,0
kt010158,kt_t010202,0
kt010159,kt_t010202,0
kt010160,kt_t010202,0
kt010161,kt_t010202,0
kt010162,kt_t010202,0
kt010163,kt_t010202,0
kt010164,kt_t010202,0
kt010165,kt_t010202,0
kt010166,kt_t010202,0
kt010167,kt_t010202,0
kt010168,kt_t010202,0
kt010169,kt_t010202,0
kt010170,kt_t010300,0
kt010171,kt_t010300,0
kt010172,kt_t010300,0
kt010173,kt_t010300,0
kt010174,kt_t010300,0
kt010175,kt_t010300,0
kt010176,kt_t010300,0
kt010177,kt_t010300,0
kt010178,kt_t010300,0
kt010179,kt_t010300,0
kt010180,kt_t010300,0
kt010181,kt_t010300,0
kt010182,kt_t010300,0
kt010183,kt_t010300,0
kt010184,kt_t010300,0
kt010185,kt_t010300,0
kt010186,kt_t010300,0
kt010187,kt_t010300,0
kt010188,kt_t010300,0
kt010189,kt_t010300,0
kt010190,kt_t010300,0
kt010191,kt_t010300,0
kt010192,kt_t010300,0
kt010193,kt_t010300,0
kt010194,kt_t010300,0
kt010195,kt_t010300,0
kt010196,kt_t010300,0
kt010197,kt_t010300,0
kt010198,kt_t010300,0
kt010199,kt_t010300,0
kt010200,kt_t010300,0
kt010201,kt_t010300,0
kt010202,kt_t010300,0
kt010203,kt_t010300,0
kt010204,kt_t010300,0
kt010205,kt_t010300,0
kt010206,kt_t010300,0
kt010207,kt_t010400,0
kt010208,kt_t010400,0
kt010209,kt_t010400,0
kt010210,kt_t010400,0
kt010211,kt_t010400,0
kt010212,kt_t010400,0
kt010213,kt_t010400,0
kt010214,kt_t010400,0
kt010215,kt_t010400,0
kt010216,kt_t010400,0
kt010217,kt_t010400,0
kt010218,kt_t010400,0
kt010219,kt_t010400,0
kt010220,kt_t010400,0
kt010221,kt_t010400,0
kt010222,kt_t010400,0
kt010223,kt_t010400,0
kt010224,kt_t010400,0
kt010225,kt_t010400,0
kt010226,kt_t010400,0
kt010227,kt_t010400,0
kt010228,kt_t010400,0
kt010229,kt_t010400,0
kt010230,kt_t010400,0
kt010231,kt_t010400,0
kt010232,kt_t010400,0
kt010233,kt_t010400,0
kt010234,kt_t010400,0
kt010235,kt_t010400,0
kt010236,kt_t010400,0
kt010237,kt_t010400,0
kt010238,kt_t010400,0
kt020001,kt_t020101,0
kt020002,kt_t020101,0
kt020003,kt_t020101,0
kt020004,kt_t020101,0
kt020005,kt_t020102,0
kt020006,kt_t020102,0
kt020007,kt_t020102,0
kt020008,kt_t020102,0
kt020009,kt_t020103,0
kt020010,kt_t020103,0
kt020011,kt_t020103,0
kt020012,kt_t020103,0
kt020013,kt_t020103,0
kt020014,kt_t020103,0
kt020015,kt_t020103,0
kt020016,kt_t020103,0
kt020017,kt_t020103,0
kt020018,kt_t020103,0
kt020019,kt_t020104,0
kt020020,kt_t020104,0
kt020021,kt_t020104,0
kt020022,kt_t020104,0
kt020023,kt_t020104,0
kt020024,kt_t020104,0
kt020025,kt_t020104,0
kt020026,kt_t020104,0
kt020027,kt_t020104,0
kt020028,kt_t020104,0
kt020029,kt_t020104,0
kt020030,kt_t020105,0
kt020031,kt_t020105,0
kt020032,kt_t020105,0
kt020033,kt_t020105,0
kt020034,kt_t020105,0
kt020035,kt_t020105,0
kt020036,kt_t020105,0
kt020037,kt_t020105,0
kt020038,kt_t020105,0
kt020039,kt_t020105,0
kt020040,kt_t020105,0
kt020041,kt_t020105,0
kt020042,kt_t020105,0
kt020043,kt_t020105,0
kt020044,kt_t020105,0
kt020045,kt_t020105,0
kt020046,kt_t020105,0
kt020047,kt_t020105,0
kt020048,kt_t020105,0
kt020049,kt_t020105,0
kt020050,kt_t020105,0
kt020051,kt_t020106,0
kt020052,kt_t020106,0
kt020053,kt_t020106,0
kt020054,kt_t020106,0
kt020055,kt_t020106,0
kt020056,kt_t020106,0
kt020057,kt_t020107,0
kt020058,kt_t020107,0
kt020059,kt_t020108,0
kt020060,kt_t020108,0
kt020061,kt_t020108,0
kt020062,kt_t020108,0
kt020063,kt_t020108,0
kt020064,kt_t020108,0
kt020065,kt_t020108,0
kt020066,kt_t020108,0
kt020067,kt_t020108,0
kt020068,kt_t020108,0
kt020069,kt_t020108,0
kt020070,kt_t020108,0
kt020071,kt_t020108,0
kt020072,kt_t020108,0
kt020073,kt_t020108,0
kt020074,kt_t020109,0
kt020075,kt_t020109,0
kt020076,kt_t020109,0
kt020077,kt_t020109,0
kt020078,kt_t020109,0
kt020079,kt_t020109,0
kt020080,kt_t020109,0
kt020081,kt_t020109,0
kt020082,kt_t020109,0
kt020083,kt_t020109,0
kt020084,kt_t020109,0
kt020085,kt_t020109,0
kt020086,kt_t020109,0
kt020087,kt_t020109,0
kt020088,kt_t020110,0
kt020089,kt_t020110,0
kt020090,kt_t020110,0
kt020091,kt_t020110,0
kt020092,kt_t020111,0
kt020093,kt_t020111,0
kt020094,kt_t020111,0
kt020095,kt_t020112,0
kt020096,kt_t020112,0
kt020097,kt_t020112,0
kt020098,kt_t020112,0
kt020099,kt_t020112,0
kt020100,kt_t020113,0
kt020101,kt_t020113,0
kt020102,kt_t020113,0
kt020103,kt_t020113,0
kt020104,kt_t020113,0
kt020105,kt_t020113,0
kt020106,kt_t020113,0
kt020107,kt_t020113,0
kt020108,kt_t020113,0
kt020109,kt_t020114,0
kt020110,kt_t020114,0
kt020111,kt_t020114,0
kt020112,kt_t020114,0
kt020113,kt_t020115,0
kt020114,kt_t020115,0
kt020115,kt_t020115,0
kt020116,kt_t020115,0
kt020117,kt_t020115,0
kt020118,kt_t020116,0
kt020119,kt_t020117,0
kt020120,kt_t020117,0
kt020121,kt_t020118,0
kt020122,kt_t020118,0
kt020123,kt_t020118,0
kt020124,kt_t020119,0
kt020125,kt_t020119,0
kt020126,kt_t020119,0
kt020127,kt_t020119,0
kt020128,kt_t020119,0
kt020129,kt_t020119,0
kt020130,kt_t020119,0
kt020131,kt_t020119,0
kt020132,kt_t020120,0
kt020133,kt_t020120,0
kt020134,kt_t020120,0
kt020135,kt_t020120,0
kt020136,kt_t020120,0
kt020137,kt_t020120,0
kt020138,kt_t020121,0
kt020139,kt_t020121,0
kt020140,kt_t020121,0
kt020141,kt_t020121,0
kt020142,kt_t020121,0
kt020143,kt_t020121,0
kt020144,kt_t020121,0
kt020145,kt_t020121,0
kt020146,kt_t020121,0
kt020147,kt_t020121,0
kt020148,kt_t020121,0
kt020149,kt_t020121,0
